x	y	vx	vy	sensor_type	NIS
0.2878	0.0197	5.1999	0.0000	L	0.0000
0.2037	0.0196	3.6779	0.0013	R	126.6975
0.1666	0.0210	3.0039	0.0067	L	0.5229
0.1448	0.0246	2.6027	0.0235	R	2.7671
0.1298	0.0261	2.3290	0.0287	L	0.2012
0.1190	0.0277	2.1261	0.0333	R	1.8143
0.1103	0.0281	1.9684	0.0349	L	0.3758
0.1040	0.0267	1.8413	0.0333	R	3.4452
0.0988	0.0252	1.7360	0.0324	L	0.2014
0.0943	0.0239	1.6469	0.0329	R	0.2471
0.0915	0.0228	1.5703	0.0326	L	0.8996
0.0886	0.0234	1.5035	0.0391	R	2.1434
0.0852	0.0291	1.4446	0.0684	L	5.0354
0.0822	0.0316	1.3923	0.0803	R	1.7639
0.0796	0.0348	1.3454	0.0933	L	0.1351
0.0773	0.0366	1.3029	0.1013	R	0.6788
0.0755	0.0357	1.2640	0.0991	L	10.3687
0.0739	0.0351	1.2284	0.0986	R	1.8153
0.0720	0.0350	1.1957	0.1006	L	3.1530
0.0701	0.0352	1.1655	0.1034	R	1.6067
0.0689	0.0355	1.1376	0.1071	L	2.0287
0.0676	0.0413	1.1116	0.1279	R	4.1615
0.0663	0.0417	1.0872	0.1308	L	3.0896
0.0651	0.0418	1.0644	0.1329	R	0.6353
0.0639	0.0431	1.0429	0.1384	L	0.2223
0.0626	0.0469	1.0227	0.1507	R	3.6740
0.0616	0.0476	1.0035	0.1537	L	2.8410
0.0605	0.0491	0.9855	0.1585	R	4.0420
0.0595	0.0539	0.9684	0.1708	L	0.6268
0.0585	0.0594	0.9521	0.1844	R	2.7221
0.0576	0.0660	0.9367	0.1991	L	0.4539
0.0566	0.0689	0.9220	0.2043	R	6.4296
0.0558	0.0708	0.9080	0.2072	L	0.7494
0.0551	0.0730	0.8947	0.2103	R	6.7476
0.0543	0.0759	0.8819	0.2145	L	0.6604
0.0538	0.0776	0.8699	0.2162	R	4.5259
0.0538	0.0771	0.8583	0.2138	L	3.1868
0.0538	0.0762	0.8470	0.2110	R	4.7234
0.0534	0.0752	0.8361	0.2083	L	1.1615
0.0528	0.0743	0.8256	0.2061	R	4.4516
0.0522	0.0734	0.8155	0.2036	L	1.4347
0.0517	0.0727	0.8058	0.2014	R	1.7607
0.0520	0.0725	0.7965	0.2004	L	1.8729
0.0520	0.0727	0.7875	0.2000	R	1.1090
0.0518	0.0734	0.7789	0.2005	L	0.4534
0.0519	0.0739	0.7706	0.2006	R	1.1720
0.0521	0.0765	0.7627	0.2049	L	0.8304
0.0528	0.0803	0.7554	0.2114	R	0.9392
0.0527	0.0821	0.7480	0.2134	L	3.3544
0.0532	0.0838	0.7412	0.2152	R	3.5594
0.0531	0.0842	0.7343	0.2145	L	2.5170
0.0526	0.0838	0.7272	0.2126	R	10.8991
0.0522	0.0834	0.7204	0.2107	L	0.7609
0.0517	0.0829	0.7138	0.2088	R	0.2546
0.0513	0.0822	0.7073	0.2069	L	0.5165
0.0513	0.0816	0.7012	0.2051	R	1.5486
0.0511	0.0818	0.6954	0.2042	L	2.3173
0.0511	0.0815	0.6899	0.2031	R	3.8895
0.0509	0.0809	0.6843	0.2013	L	1.1569
0.0508	0.0802	0.6787	0.1999	R	2.4666
0.0507	0.0800	0.6732	0.1992	L	0.7284
0.0508	0.0796	0.6680	0.1981	R	0.9470
0.0512	0.0792	0.6629	0.1968	L	0.2425
0.0516	0.0790	0.6579	0.1958	R	1.7646
0.0519	0.0794	0.6529	0.1956	L	0.4225
0.0527	0.0798	0.6481	0.1951	R	0.6707
0.0532	0.0804	0.6434	0.1947	L	0.4413
0.0532	0.0819	0.6386	0.1958	R	4.8223
0.0529	0.0849	0.6341	0.1986	L	0.5105
0.0526	0.0879	0.6297	0.2012	R	1.8658
0.0523	0.0909	0.6254	0.2034	L	0.2687
0.0519	0.0937	0.6213	0.2053	R	3.5287
0.0516	0.0948	0.6171	0.2050	L	2.2740
0.0513	0.0963	0.6131	0.2053	R	1.3993
0.0510	0.0977	0.6090	0.2050	L	0.7244
0.0507	0.0994	0.6051	0.2050	R	0.5876
0.0504	0.1019	0.6014	0.2057	L	0.3539
0.0502	0.1048	0.5979	0.2066	R	0.2540
0.0498	0.1060	0.5942	0.2060	L	2.9876
0.0495	0.1073	0.5905	0.2052	R	0.4947
0.0499	0.1073	0.5871	0.2039	L	4.6437
0.0498	0.1075	0.5835	0.2027	R	4.5521
0.0495	0.1081	0.5800	0.2017	L	0.6647
0.0492	0.1086	0.5765	0.2006	R	0.3524
0.0489	0.1090	0.5731	0.1995	L	1.6938
0.0487	0.1093	0.5698	0.1984	R	2.4330
0.0485	0.1089	0.5665	0.1973	L	5.3006
0.0483	0.1084	0.5633	0.1963	R	0.7737
0.0483	0.1078	0.5606	0.1960	L	4.7185
0.0482	0.1072	0.5577	0.1954	R	1.0542
0.0490	0.1067	0.5555	0.1951	L	2.7121
0.0492	0.1061	0.5527	0.1945	R	2.9415
0.0500	0.1056	0.5502	0.1940	L	0.4727
0.0507	0.1051	0.5478	0.1933	R	6.7851
0.0513	0.1045	0.5453	0.1924	L	0.4278
0.0515	0.1040	0.5425	0.1915	R	3.0286
0.0519	0.1034	0.5399	0.1905	L	1.5795
0.0523	0.1030	0.5373	0.1895	R	4.7674
0.0528	0.1025	0.5347	0.1885	L	0.0292
0.0525	0.1020	0.5322	0.1876	R	10.8135
0.0527	0.1016	0.5295	0.1867	L	4.6549
0.0532	0.1011	0.5270	0.1858	R	3.7272
0.0535	0.1008	0.5245	0.1849	L	0.9428
0.0533	0.1004	0.5221	0.1841	R	3.2898
0.0535	0.1001	0.5196	0.1832	L	1.7996
0.0537	0.0997	0.5172	0.1824	R	2.1366
0.0537	0.0993	0.5148	0.1815	L	1.1975
0.0537	0.0989	0.5124	0.1807	R	1.3228
0.0538	0.0985	0.5101	0.1799	L	1.1868
0.0538	0.0981	0.5078	0.1790	R	0.8922
0.0538	0.0977	0.5056	0.1782	L	0.2740
0.0536	0.0974	0.5034	0.1775	R	1.4100
0.0534	0.0971	0.5015	0.1767	L	1.2058
0.0532	0.0967	0.4994	0.1759	R	3.4341
0.0530	0.0964	0.4973	0.1751	L	2.1641
0.0528	0.0960	0.4958	0.1745	R	7.8610
0.0527	0.0956	0.4939	0.1740	L	3.8580
0.0525	0.0952	0.4921	0.1736	R	1.4327
0.0523	0.0948	0.4902	0.1732	L	0.0245
0.0522	0.0944	0.4883	0.1727	R	1.8940
0.0520	0.0942	0.4864	0.1724	L	0.9788
0.0518	0.0940	0.4845	0.1722	R	0.3141
0.0517	0.0939	0.4826	0.1720	L	0.0460
0.0515	0.0938	0.4811	0.1725	R	6.3528
0.0514	0.0936	0.4798	0.1728	L	1.5602
0.0512	0.0934	0.4780	0.1724	R	6.2141
0.0514	0.0931	0.4764	0.1721	L	3.7806
0.0514	0.0929	0.4746	0.1715	R	2.4071
0.0514	0.0927	0.4728	0.1709	L	0.9099
0.0514	0.0925	0.4710	0.1705	R	1.9981
0.0512	0.0926	0.4692	0.1701	L	1.2415
0.0510	0.0926	0.4675	0.1696	R	6.7107
0.0509	0.0925	0.4657	0.1689	L	0.3698
0.0507	0.0925	0.4640	0.1684	R	1.7973
0.0505	0.0926	0.4623	0.1679	L	0.4419
0.0503	0.0926	0.4606	0.1673	R	3.0119
0.0502	0.0929	0.4590	0.1668	L	2.7192
0.0500	0.0931	0.4573	0.1662	R	3.1969
0.0498	0.0931	0.4557	0.1657	L	0.8013
0.0497	0.0935	0.4540	0.1654	R	10.0958
0.0496	0.0938	0.4524	0.1650	L	0.7686
0.0494	0.0940	0.4509	0.1644	R	3.2072
0.0493	0.0939	0.4493	0.1639	L	1.4027
0.0491	0.0936	0.4478	0.1636	R	5.7271
0.0490	0.0933	0.4463	0.1638	L	1.8119
0.0488	0.0931	0.4449	0.1637	R	2.1474
0.0487	0.0927	0.4434	0.1639	L	0.6611
0.0485	0.0924	0.4419	0.1638	R	1.3402
0.0483	0.0921	0.4405	0.1636	L	0.7964
0.0482	0.0918	0.4390	0.1632	R	0.3989
0.0482	0.0915	0.4375	0.1627	L	1.9860
0.0483	0.0913	0.4361	0.1623	R	2.3917
0.0485	0.0911	0.4347	0.1620	L	0.1937
0.0486	0.0909	0.4333	0.1617	R	1.7347
0.0485	0.0906	0.4319	0.1613	L	1.7037
0.0485	0.0904	0.4305	0.1609	R	2.6419
0.0485	0.0901	0.4292	0.1606	L	0.2043
0.0485	0.0899	0.4278	0.1604	R	0.9271
0.0485	0.0898	0.4265	0.1607	L	1.8388
0.0485	0.0898	0.4251	0.1615	R	1.0759
0.0485	0.0899	0.4238	0.1624	L	0.6129
0.0484	0.0904	0.4225	0.1641	R	4.1520
0.0483	0.0911	0.4213	0.1664	L	0.5560
0.0482	0.0917	0.4201	0.1673	R	5.6452
0.0482	0.0919	0.4188	0.1676	L	3.4456
0.0482	0.0920	0.4176	0.1676	R	1.0160
0.0480	0.0922	0.4164	0.1676	L	1.6478
0.0479	0.0922	0.4152	0.1671	R	2.3782
0.0478	0.0922	0.4141	0.1667	L	1.2200
0.0479	0.0922	0.4131	0.1662	R	1.5225
0.0477	0.0921	0.4120	0.1657	L	1.9348
0.0477	0.0920	0.4109	0.1653	R	4.5027
0.0475	0.0922	0.4098	0.1649	L	2.6976
0.0474	0.0924	0.4087	0.1646	R	0.1055
0.0473	0.0926	0.4076	0.1643	L	0.1302
0.0472	0.0929	0.4066	0.1642	R	3.5128
0.0471	0.0929	0.4055	0.1639	L	3.7384
0.0471	0.0930	0.4044	0.1636	R	0.2240
0.0472	0.0931	0.4032	0.1632	L	0.9701
0.0473	0.0931	0.4021	0.1628	R	0.4222
0.0476	0.0930	0.4010	0.1624	L	0.5274
0.0478	0.0928	0.3999	0.1619	R	2.7388
0.0485	0.0926	0.3988	0.1615	L	1.1675
0.0492	0.0924	0.3978	0.1611	R	2.1737
0.0496	0.0923	0.3967	0.1607	L	0.9716
0.0499	0.0922	0.3957	0.1605	R	1.7022
0.0502	0.0920	0.3946	0.1601	L	1.8849
0.0504	0.0918	0.3936	0.1597	R	4.5053
0.0504	0.0915	0.3926	0.1593	L	0.6238
0.0504	0.0913	0.3916	0.1589	R	1.4932
0.0503	0.0911	0.3907	0.1585	L	1.0726
0.0502	0.0908	0.3898	0.1581	R	1.3934
0.0502	0.0906	0.3892	0.1576	L	2.2333
0.0502	0.0904	0.3887	0.1574	R	7.0696
0.0500	0.0901	0.3879	0.1570	L	2.5866
0.0499	0.0899	0.3872	0.1566	R	3.3775
0.0498	0.0898	0.3863	0.1562	L	1.1823
0.0497	0.0896	0.3855	0.1559	R	2.4699
0.0496	0.0896	0.3847	0.1555	L	6.0640
0.0495	0.0894	0.3842	0.1553	R	3.2987
0.0494	0.0893	0.3837	0.1550	L	0.1051
0.0493	0.0892	0.3831	0.1546	R	1.9865
0.0492	0.0893	0.3825	0.1543	L	0.5047
0.0491	0.0893	0.3818	0.1539	R	5.0560
0.0490	0.0891	0.3812	0.1535	L	2.3201
0.0489	0.0891	0.3806	0.1532	R	1.1011
0.0488	0.0892	0.3797	0.1529	L	1.8126
0.0487	0.0892	0.3791	0.1526	R	2.0564
0.0486	0.0892	0.3784	0.1522	L	0.9866
0.0485	0.0892	0.3776	0.1519	R	0.9692
0.0486	0.0891	0.3768	0.1515	L	2.9001
0.0488	0.0893	0.3759	0.1513	R	2.3060
0.0488	0.0894	0.3750	0.1510	L	0.3548
0.0487	0.0894	0.3744	0.1506	R	1.7952
0.0488	0.0894	0.3736	0.1503	L	1.1365
0.0487	0.0893	0.3731	0.1501	R	3.5284
0.0488	0.0891	0.3736	0.1503	L	3.2371
0.0491	0.0889	0.3746	0.1507	R	1.1975
0.0492	0.0887	0.3751	0.1511	L	1.8068
0.0492	0.0885	0.3755	0.1512	R	0.9217
0.0503	0.0883	0.3772	0.1515	L	2.9465
0.0514	0.0881	0.3785	0.1515	R	3.6339
0.0524	0.0879	0.3796	0.1515	L	0.4150
0.0532	0.0877	0.3802	0.1513	R	3.8566
0.0544	0.0875	0.3811	0.1511	L	0.4993
0.0553	0.0874	0.3814	0.1508	R	2.8580
0.0554	0.0872	0.3810	0.1504	L	4.2651
0.0556	0.0871	0.3804	0.1501	R	3.0120
0.0555	0.0869	0.3796	0.1499	L	2.2981
0.0554	0.0868	0.3789	0.1495	R	1.2899
0.0553	0.0866	0.3781	0.1492	L	1.0567
0.0552	0.0865	0.3774	0.1489	R	1.6189
0.0551	0.0863	0.3767	0.1486	L	1.7955
0.0550	0.0862	0.3761	0.1483	R	0.4488
0.0550	0.0861	0.3754	0.1480	L	0.7260
0.0549	0.0860	0.3748	0.1477	R	2.6300
0.0549	0.0858	0.3744	0.1475	L	4.3514
0.0549	0.0856	0.3739	0.1472	R	1.6867
0.0549	0.0855	0.3733	0.1469	L	0.2229
0.0548	0.0853	0.3727	0.1467	R	3.0144
0.0549	0.0851	0.3722	0.1464	L	0.6294
0.0550	0.0850	0.3717	0.1461	R	5.3866
0.0550	0.0848	0.3712	0.1458	L	0.7372
0.0549	0.0847	0.3704	0.1455	R	5.7995
0.0548	0.0846	0.3696	0.1452	L	0.4327
0.0547	0.0845	0.3689	0.1449	R	1.5647
0.0546	0.0844	0.3682	0.1447	L	2.4869
0.0545	0.0845	0.3675	0.1445	R	4.2891
0.0546	0.0845	0.3669	0.1443	L	0.4914
0.0545	0.0846	0.3662	0.1440	R	3.1678
0.0545	0.0846	0.3656	0.1438	L	1.5969
0.0544	0.0846	0.3649	0.1435	R	2.2571
0.0543	0.0845	0.3642	0.1432	L	0.5706
0.0542	0.0844	0.3635	0.1430	R	0.2372
0.0541	0.0843	0.3628	0.1427	L	2.2231
0.0540	0.0841	0.3621	0.1424	R	2.3013
0.0540	0.0839	0.3614	0.1421	L	2.8614
0.0540	0.0838	0.3607	0.1419	R	1.1090
0.0539	0.0836	0.3601	0.1417	L	0.5437
0.0539	0.0835	0.3594	0.1414	R	4.0791
0.0539	0.0834	0.3587	0.1411	L	0.0111
0.0540	0.0833	0.3581	0.1408	R	0.8256
0.0541	0.0832	0.3574	0.1406	L	1.4165
0.0542	0.0830	0.3568	0.1404	R	0.1930
0.0543	0.0828	0.3561	0.1402	L	0.7875
0.0545	0.0827	0.3555	0.1400	R	4.0085
0.0548	0.0826	0.3549	0.1398	L	1.8259
0.0553	0.0824	0.3545	0.1396	R	0.7037
0.0555	0.0823	0.3539	0.1394	L	4.6544
0.0558	0.0822	0.3533	0.1392	R	0.9867
0.0558	0.0820	0.3526	0.1390	L	3.9286
0.0557	0.0820	0.3520	0.1390	R	5.3205
0.0556	0.0820	0.3514	0.1390	L	1.4813
0.0556	0.0820	0.3508	0.1391	R	5.9598
0.0555	0.0820	0.3504	0.1393	L	1.6183
0.0554	0.0820	0.3499	0.1392	R	4.0282
0.0553	0.0818	0.3493	0.1390	L	3.0259
0.0552	0.0817	0.3487	0.1388	R	5.3750
0.0551	0.0815	0.3481	0.1387	L	1.2234
0.0550	0.0815	0.3477	0.1388	R	2.6944
0.0549	0.0814	0.3471	0.1388	L	1.1525
0.0548	0.0814	0.3465	0.1387	R	4.2232
0.0547	0.0814	0.3459	0.1388	L	0.4907
0.0547	0.0813	0.3453	0.1387	R	3.0515
0.0546	0.0812	0.3447	0.1385	L	0.4833
0.0546	0.0811	0.3441	0.1384	R	1.1430
0.0545	0.0812	0.3435	0.1385	L	2.5107
0.0544	0.0813	0.3430	0.1387	R	0.2277
0.0543	0.0813	0.3424	0.1388	L	1.3923
0.0542	0.0814	0.3419	0.1392	R	4.4525
0.0541	0.0814	0.3413	0.1391	L	4.9444
0.0540	0.0813	0.3408	0.1390	R	0.4748
0.0539	0.0813	0.3402	0.1390	L	0.4528
0.0538	0.0813	0.3396	0.1392	R	0.3781
0.0538	0.0815	0.3391	0.1396	L	1.2123
0.0537	0.0818	0.3387	0.1402	R	2.5901
0.0536	0.0821	0.3384	0.1412	L	0.2904
0.0537	0.0824	0.3383	0.1420	R	4.3156
0.0536	0.0827	0.3380	0.1428	L	1.6393
0.0536	0.0831	0.3378	0.1438	R	0.4255
0.0537	0.0835	0.3377	0.1448	L	0.2296
0.0539	0.0838	0.3378	0.1458	R	6.9627
0.0541	0.0838	0.3376	0.1460	L	5.8135
0.0544	0.0838	0.3376	0.1464	R	0.8838
0.0550	0.0840	0.3378	0.1472	L	0.4017
0.0553	0.0841	0.3376	0.1478	R	6.6905
0.0555	0.0842	0.3373	0.1482	L	0.5883
0.0557	0.0843	0.3370	0.1487	R	1.0922
0.0558	0.0844	0.3366	0.1491	L	3.2242
0.0559	0.0845	0.3362	0.1494	R	2.0000
0.0558	0.0846	0.3356	0.1495	L	3.3057
0.0557	0.0847	0.3351	0.1496	R	1.3408
0.0559	0.0849	0.3347	0.1500	L	3.4191
0.0561	0.0850	0.3343	0.1504	R	2.0002
0.0565	0.0850	0.3339	0.1505	L	3.5692
0.0570	0.0850	0.3336	0.1506	R	2.3741
0.0575	0.0849	0.3332	0.1505	L	1.0100
0.0579	0.0848	0.3328	0.1504	R	2.3575
0.0585	0.0847	0.3323	0.1502	L	2.2595
0.0591	0.0845	0.3319	0.1499	R	2.1376
0.0594	0.0844	0.3314	0.1498	L	3.5611
0.0596	0.0843	0.3309	0.1496	R	2.5576
0.0597	0.0843	0.3304	0.1496	L	2.1730
0.0600	0.0846	0.3299	0.1501	R	4.1214
0.0602	0.0847	0.3294	0.1502	L	0.7538
0.0604	0.0848	0.3289	0.1501	R	2.7743
0.0607	0.0847	0.3284	0.1499	L	0.6210
0.0610	0.0847	0.3279	0.1497	R	0.2519
0.0611	0.0849	0.3274	0.1497	L	1.9138
0.0611	0.0851	0.3269	0.1497	R	4.4812
0.0611	0.0850	0.3264	0.1494	L	5.3053
0.0610	0.0850	0.3259	0.1492	R	1.9281
0.0609	0.0849	0.3255	0.1491	L	2.1327
0.0609	0.0848	0.3250	0.1488	R	2.2816
0.0608	0.0849	0.3245	0.1487	L	0.5093
0.0607	0.0851	0.3241	0.1487	R	5.2336
0.0606	0.0855	0.3236	0.1489	L	1.4096
0.0605	0.0856	0.3232	0.1487	R	7.9003
0.0605	0.0856	0.3227	0.1485	L	0.5178
0.0604	0.0857	0.3223	0.1483	R	1.6951
0.0604	0.0860	0.3219	0.1482	L	0.1939
0.0604	0.0863	0.3215	0.1483	R	0.7168
0.0603	0.0864	0.3211	0.1481	L	2.4142
0.0602	0.0865	0.3206	0.1479	R	1.6838
0.0601	0.0865	0.3202	0.1478	L	0.2729
0.0600	0.0865	0.3198	0.1477	R	3.9760
0.0600	0.0868	0.3193	0.1475	L	2.9471
0.0599	0.0872	0.3189	0.1474	R	1.1453
0.0598	0.0882	0.3184	0.1478	L	1.2605
0.0597	0.0894	0.3180	0.1486	R	4.9430
0.0597	0.0895	0.3176	0.1484	L	15.3064
0.0596	0.0895	0.3171	0.1485	R	1.5315
0.0595	0.0896	0.3167	0.1485	L	0.7243
0.0594	0.0896	0.3163	0.1484	R	2.3456
0.0593	0.0896	0.3159	0.1485	L	1.6106
0.0593	0.0895	0.3154	0.1485	R	1.8408
0.0592	0.0894	0.3150	0.1491	L	2.3944
0.0592	0.0893	0.3146	0.1491	R	6.7388
0.0592	0.0892	0.3142	0.1493	L	0.5420
0.0592	0.0890	0.3137	0.1495	R	1.8825
0.0592	0.0889	0.3133	0.1500	L	1.0539
0.0592	0.0888	0.3129	0.1504	R	1.0682
0.0591	0.0888	0.3125	0.1502	L	5.0040
0.0591	0.0887	0.3121	0.1500	R	3.5721
0.0590	0.0886	0.3117	0.1498	L	2.0077
0.0589	0.0886	0.3113	0.1496	R	1.7271
0.0588	0.0885	0.3109	0.1494	L	0.7355
0.0587	0.0884	0.3105	0.1493	R	0.8985
0.0587	0.0883	0.3101	0.1493	L	2.3205
0.0586	0.0882	0.3097	0.1492	R	1.9298
0.0585	0.0881	0.3093	0.1490	L	3.1271
0.0584	0.0881	0.3089	0.1488	R	3.4685
0.0584	0.0880	0.3085	0.1486	L	5.5969
0.0584	0.0879	0.3081	0.1484	R	0.3234
0.0584	0.0878	0.3077	0.1482	L	2.5202
0.0583	0.0877	0.3073	0.1480	R	1.8633
0.0583	0.0876	0.3069	0.1478	L	0.4122
0.0582	0.0875	0.3065	0.1476	R	1.3184
0.0581	0.0873	0.3061	0.1475	L	0.5515
0.0581	0.0872	0.3059	0.1474	R	6.4505
0.0580	0.0872	0.3057	0.1475	L	0.6680
0.0580	0.0871	0.3056	0.1476	R	0.2286
0.0580	0.0870	0.3055	0.1476	L	0.4732
0.0580	0.0869	0.3053	0.1475	R	11.0342
0.0580	0.0868	0.3050	0.1473	L	2.1110
0.0580	0.0867	0.3046	0.1471	R	3.5538
0.0580	0.0866	0.3042	0.1469	L	4.4994
0.0579	0.0866	0.3039	0.1468	R	0.5377
0.0579	0.0865	0.3037	0.1467	L	1.3850
0.0578	0.0865	0.3035	0.1465	R	1.3793
0.0577	0.0864	0.3031	0.1463	L	5.7316
0.0577	0.0862	0.3028	0.1462	R	0.9844
0.0576	0.0862	0.3024	0.1460	L	1.3185
0.0575	0.0861	0.3020	0.1459	R	1.9878
0.0575	0.0860	0.3016	0.1457	L	1.1124
0.0574	0.0859	0.3013	0.1456	R	1.7129
0.0574	0.0858	0.3010	0.1455	L	0.0917
0.0573	0.0858	0.3007	0.1454	R	5.1816
0.0572	0.0858	0.3003	0.1452	L	0.4636
0.0571	0.0857	0.3000	0.1451	R	2.2180
0.0571	0.0856	0.2998	0.1450	L	2.5705
0.0571	0.0855	0.2995	0.1448	R	1.7536
0.0570	0.0854	0.2993	0.1447	L	1.8649
0.0569	0.0853	0.2990	0.1445	R	1.7631
0.0569	0.0852	0.2987	0.1443	L	3.2918
0.0568	0.0852	0.2983	0.1442	R	7.2612
0.0568	0.0851	0.2979	0.1440	L	0.0680
0.0567	0.0850	0.2976	0.1438	R	8.1876
0.0567	0.0849	0.2973	0.1436	L	0.2393
0.0567	0.0848	0.2969	0.1435	R	0.2201
0.0567	0.0847	0.2966	0.1433	L	0.7321
0.0568	0.0846	0.2964	0.1431	R	0.8010
0.0569	0.0845	0.2962	0.1430	L	0.1178
0.0570	0.0844	0.2958	0.1428	R	2.8871
0.0571	0.0844	0.2955	0.1426	L	1.6952
0.0573	0.0843	0.2952	0.1425	R	2.1495
0.0574	0.0842	0.2949	0.1423	L	0.1574
0.0576	0.0842	0.2946	0.1421	R	1.1126
0.0581	0.0841	0.2943	0.1420	L	3.7691
0.0585	0.0840	0.2940	0.1418	R	0.6141
0.0588	0.0839	0.2937	0.1416	L	2.0002
0.0589	0.0838	0.2934	0.1415	R	8.9437
0.0592	0.0837	0.2931	0.1414	L	0.4469
0.0594	0.0836	0.2927	0.1412	R	2.3065
